date,long_name,player,notes,injury,team
2011-01-20,Sharks,Antero Niittymaki,placed on IR with lower body injury,torso,SJS
2011-02-11,Sharks,Torrey Mitchell,activated from IR,activated from IR,SJS
2011-02-17,Sharks,Antero Niittymaki,placed on IR with lower body injury,torso,SJS
2011-03-01,Sharks,Scott Nichol,placed on IR with upper body injury,torso,SJS
2011-03-05,Sharks,Antero Niittymaki,activated from IR,activated from IR,SJS
2011-04-08,Sharks,Scott Nichol,activated from IR,activated from IR,SJS
2011-10-05,Sharks,Alex Stalock,placed on IR with left leg injury,ll,SJS
2011-10-05,Sharks,Frazer McLaren,placed on IR with surgery on hip,ul,SJS
2011-10-05,Sharks,James Sheppard,placed on IR with surgery on left knee (out for season),ul,SJS
2011-10-05,Sharks,Antero Niittymaki,placed on IR with surgery on hip,ul,SJS
2011-10-06,Sharks,Martin Havlat,placed on IR with surgery on shoulder,torso,SJS
2011-10-14,Sharks,Antti Niemi,activated from IR,activated from IR,SJS
2011-10-21,Sharks,Martin Havlat,activated from IR,activated from IR,SJS
2011-11-12,Sharks,Frazer McLaren,activated from IR,activated from IR,SJS
2011-12-11,Sharks,Douglas Murray,placed on IR with right hand injury,la,SJS
2011-12-12,Sharks,Jim Vandermeer,placed on IR with hand injury,la,SJS
2011-12-12,Sharks,Antero Niittymaki,activated from IR,activated from IR,SJS
2011-12-21,Sharks,Martin Havlat,placed on IR with lower body injury,torso,SJS
2011-12-28,Sharks,Douglas Murray,activated from IR,activated from IR,SJS
2012-01-04,Sharks,Colin White,placed on IR with lower body injury,torso,SJS
2012-01-19,Sharks,Ryane Clowe,placed on IR with facial injury,torso,SJS
2012-01-19,Sharks,Colin White,activated from IR,activated from IR,SJS
2012-01-20,Sharks,Tommy Wingels,placed on IR with upper body injury,torso,SJS
2012-01-21,Sharks,Jim Vandermeer,activated from IR,activated from IR,SJS
2012-02-02,Sharks,Jason Demers,activated from IR,activated from IR,SJS
2012-02-02,Sharks,Ryane Clowe,activated from IR,activated from IR,SJS
2012-02-13,Sharks,Tommy Wingels,activated from IR,activated from IR,SJS
2012-03-15,Sharks,Martin Havlat,activated from IR,activated from IR,SJS
2013-01-18,Sharks,Brent Burns,placed on IR with surgery to repair sports hernia,torso,SJS
2013-01-18,Sharks,Jason Demers,placed on IR with fractured wrist,la,SJS
2013-02-02,Sharks,Jason Demers,activated from IR,activated from IR,SJS
2013-02-09,Sharks,Brent Burns,activated from IR,activated from IR,SJS
2013-02-15,Sharks,James Sheppard,placed on IR with lower body injury,torso,SJS
2013-02-19,Sharks,Andrew Desjardins,activated from IR,activated from IR,SJS
2013-02-23,Sharks,James Sheppard,activated from IR,activated from IR,SJS
2013-02-24,Sharks,Brent Burns,placed on IR with lower body injury,torso,SJS
2013-03-04,Sharks,Tommy Wingels,placed on IR with upper body injury,torso,SJS
2013-03-09,Sharks,Martin Havlat,placed on IR with lower body injury,torso,SJS
2013-03-09,Sharks,Tommy Wingels,activated from IR,activated from IR,SJS
2013-03-11,Sharks,Thomas Greiss,placed on IR with sore neck,head,SJS
2013-03-12,Sharks,Brent Burns,activated from IR,activated from IR,SJS
2013-03-18,Sharks,Martin Havlat,activated from IR,activated from IR,SJS
2013-04-01,Sharks,Thomas Greiss,activated from IR,activated from IR,SJS
2013-04-03,Sharks,Tim Kennedy,activated from IR,activated from IR,SJS
2013-04-13,Sharks,Scott Hannan,activated from IR,activated from IR,SJS
2013-09-30,Sharks,Raffi Torres,placed on IR with torn ACL in right knee,ul,SJS
2013-10-15,Sharks,Adam Burish,placed on IR with lower body injury,torso,SJS
2013-10-21,Sharks,Dan Boyle,placed on IR with upper body injury,torso,SJS
2013-11-02,Sharks,Dan Boyle,activated from IR,activated from IR,SJS
2013-11-07,Sharks,Brent Burns,placed on IR with upper body injury,torso,SJS
2013-11-21,Sharks,Brent Burns,activated from IR,activated from IR,SJS
2013-12-05,Sharks,Mike Brown,placed on IR with lower body injury (date 12-08 per T),torso,SJS
2013-12-17,Sharks,Mike Brown,activated from IR,activated from IR,SJS
2013-12-20,Sharks,Tomas Hertl,placed on IR with bruised right knee,ul,SJS
2013-12-29,Sharks,Tomas Hertl,placed on IR with knee injury (CBC),ul,SJS
2013-12-31,Sharks,Martin Havlat,placed on IR with lower body injury,torso,SJS
2014-01-04,Sharks,Tommy Wingels,placed on IR with upper body injury,torso,SJS
2014-01-07,Sharks,Logan Couture,placed on IR with hand injury,la,SJS
2014-01-09,Sharks,Tommy Wingels,activated from IR,activated from IR,SJS
2014-01-16,Sharks,Scott Hannan,placed on IR with upper body injury,torso,SJS
2014-01-16,Sharks,Martin Havlat,activated from IR,activated from IR,SJS
2014-01-29,Sharks,Scott Hannan,activated from IR,activated from IR,SJS
2014-02-05,Sharks,Adam Burish,activated from IR,activated from IR,SJS
2014-02-26,Sharks,Raffi Torres,activated from IR,activated from IR,SJS
2014-02-27,Sharks,Brad Stuart,placed on IR with upper body injury,torso,SJS
2014-02-27,Sharks,Logan Couture,activated from IR,activated from IR,SJS
2014-03-24,Sharks,Raffi Torres,placed on IR with right knee injury (out for season),ul,SJS
2014-03-24,Sharks,Brad Stuart,activated from IR,activated from IR,SJS
2014-04-11,Sharks,Tomas Hertl,activated from IR,activated from IR,SJS
2014-10-06,Sharks,James Sheppard,placed on IR with knee injury,ul,SJS
2014-10-06,Sharks,Raffi Torres,placed on IR with knee injury (out for season),ul,SJS
2014-10-18,Sharks,Mike Brown,placed on IR with bruised hand,la,SJS
2014-10-21,Sharks,James Sheppard,activated from IR,activated from IR,SJS
2014-10-28,Sharks,Barclay Goodrow,activated from IR,activated from IR,SJS
2014-11-06,Sharks,Tyler Kennedy,activated from IR,activated from IR,SJS
2014-11-12,Sharks,Alex Stalock,placed on IR with lower body injury,torso,SJS
2014-11-26,Sharks,Troy Grosenick,placed on IR with upper body injury,torso,SJS
2014-11-29,Sharks,Tyler Kennedy,placed on IR with lower body injury,torso,SJS
2014-11-29,Sharks,Alex Stalock,activated from IR,activated from IR,SJS
2014-11-29,Sharks,Mike Brown,activated from IR,activated from IR,SJS
2014-12-04,Sharks,Tyler Kennedy,activated from IR,activated from IR,SJS
2014-12-07,Sharks,Tyler Kennedy,placed on IR with shoulder injury,torso,SJS
2014-12-09,Sharks,Troy Grosenick,activated from IR,activated from IR,SJS
2014-12-10,Sharks,Matt Nieto,placed on IR with lower body injury,torso,SJS
2014-12-10,Sharks,Mike Brown,placed on IR with lower body injury,torso,SJS
2014-12-30,Sharks,Matt Nieto,activated from IR,activated from IR,SJS
2015-01-01,Sharks,Joe Thornton,placed on IR with upper body injury (Y),torso,SJS
2015-01-04,Sharks,Joe Thornton,placed on IR with upper body injury,torso,SJS
2015-01-10,Sharks,Joe Thornton,activated from IR,activated from IR,SJS
2015-01-13,Sharks,Tyler Kennedy,activated from IR,activated from IR,SJS
2015-01-20,Sharks,Justin Braun,placed on IR with upper body injury,torso,SJS
2015-01-20,Sharks,Tommy Wingels,placed on IR with upper body injury,torso,SJS
2015-01-27,Sharks,Mirco Mueller,activated from IR,activated from IR,SJS
2015-02-07,Sharks,Marc-Edouard Vlasic,placed on IR with upper body injury,torso,SJS
2015-02-09,Sharks,Tommy Wingels,activated from IR,activated from IR,SJS
2015-02-15,Sharks,Marc-Edouard Vlasic,activated from IR,activated from IR,SJS
2015-02-17,Sharks,Justin Braun,activated from IR,activated from IR,SJS
2015-02-26,Sharks,Daniil Tarasov,activated from IR,activated from IR,SJS
2015-02-28,Sharks,Tye McGinn,activated from IR,activated from IR,SJS
2015-04-01,Sharks,Mike Brown,activated from IR,activated from IR,SJS
2015-10-15,Sharks,Logan Couture,placed on IR with fractured fibula in right leg,ll,SJS
2015-11-25,Sharks,Justin Braun,placed on IR with elbow infection (CBS S Y),ua,SJS
2015-11-28,Sharks,Justin Braun,placed on IR with upper body injury (CBC),torso,SJS
2015-12-01,Sharks,Justin Braun,activated from IR,activated from IR,SJS
2015-12-08,Sharks,Ben Smith,placed on IR with concussion,head,SJS
2015-12-08,Sharks,Logan Couture,activated from IR,activated from IR,SJS
2015-12-20,Sharks,Ben Smith,activated from IR,activated from IR,SJS
2016-01-13,Sharks,Dainius Zubrus,placed on IR with upper body injury,torso,SJS
2016-01-21,Sharks,Dainius Zubrus,activated from IR,activated from IR,SJS
2016-02-19,Sharks,Tommy Wingels,placed on IR with sprained left shoulder,torso,SJS
2016-02-22,Sharks,Tommy Wingels,placed on IR with upper body injury,torso,SJS
2016-03-15,Sharks,Tommy Wingels,activated from IR,activated from IR,SJS
2016-11-18,Sharks,Tomas Hertl,placed on IR with right knee injury,ul,SJS
2016-11-21,Sharks,Tomas Hertl,placed on IR with right knee injury,ul,SJS
2016-11-26,Sharks,Melker Karlsson,placed on IR with ankle injury,ll,SJS
2016-11-29,Sharks,Melker Karlsson,activated from IR,activated from IR,SJS
2016-12-31,Sharks,Marc-Edouard Vlasic,placed on IR with facial injury,torso,SJS
2017-01-03,Sharks,Marc-Edouard Vlasic,placed on IR with facial injury,torso,SJS
2017-01-10,Sharks,David Schlemko,placed on IR with upper body injury,torso,SJS
2017-01-10,Sharks,Marc-Edouard Vlasic,activated from IR,activated from IR,SJS
2017-01-14,Sharks,Dylan DeMelo,placed on IR with wrist injury,la,SJS
2017-01-14,Sharks,David Schlemko,activated from IR,activated from IR,SJS
2017-01-17,Sharks,Joonas Donskoi,placed on IR with upper body injury,torso,SJS
2017-01-19,Sharks,Joonas Donskoi,activated from IR,activated from IR,SJS
2017-01-20,Sharks,Micheal Haley,placed on IR with upper body injury,torso,SJS
2017-01-25,Sharks,Tomas Hertl,activated from IR,activated from IR,SJS
2017-01-27,Sharks,Micheal Haley,activated from IR,activated from IR,SJS
2017-03-05,Sharks,Dylan DeMelo,activated from IR,activated from IR,SJS
2007-03-04,Sharks,Vesa Toskala,groin injury (DTD),ul,SJS
2007-03-18,Sharks,Joe Pavelski,foot injury (DTD),ll,SJS
2007-05-05,Sharks,Bill Guerin,facial injury (DTD),torso,SJS
2007-10-02,Sharks,Alexei Semenov,back injury (DTD),torso,SJS
2007-10-02,Sharks,Brad Norton,back injury (DTD),torso,SJS
2007-10-04,Sharks,Devin Setoguchi,placed on IR with ankle injury,ll,SJS
2007-10-12,Sharks,Jeremy Roenick,knee injury (DTD),ul,SJS
2007-10-23,Sharks,Kyle McLaren,chest injury (DTD),torso,SJS
2007-10-27,Sharks,Mike Grier,groin injury (DTD),ul,SJS
2007-10-27,Sharks,Rob Davison,finger injury (out indefinitely),la,SJS
2007-11-02,Sharks,Douglas Murray,wrist injury (DTD),la,SJS
2007-11-14,Sharks,Milan Michalek,elbow injury (DTD),ua,SJS
2007-11-15,Sharks,Craig Rivet,leg injury (DTD),ll,SJS
2008-01-13,Sharks,Kyle McLaren,knee injury (DTD),ul,SJS
2008-01-20,Sharks,Curtis Brown,placed on IR with hand injury,la,SJS
2008-02-12,Sharks,Patrick Marleau,groin injury (DTD),ul,SJS
2008-03-07,Sharks,Brian Boucher,right shoulder injury (DTD),torso,SJS
2008-03-25,Sharks,Jonathan Cheechoo,sore neck (DTD),head,SJS
2008-03-28,Sharks,Craig Rivet,upper body injury (DTD),torso,SJS
2008-04-06,Sharks,Christian Ehrhoff,lower body injury (DTD),torso,SJS
2008-04-22,Sharks,Kyle McLaren,groin injury (DTD),ul,SJS
2008-09-18,Sharks,Torrey Mitchell,fractured left leg (out indefinitely),ll,SJS
2008-10-10,Sharks,Marcel Goc,back injury (DTD),torso,SJS
2008-10-14,Sharks,Tomas Plihal,lower body injury (DTD),torso,SJS
2008-10-17,Sharks,Douglas Murray,hand injury (DTD),la,SJS
2008-10-17,Sharks,Milan Michalek,upper body injury (DTD),torso,SJS
2008-10-28,Sharks,Marcel Goc,upper body injury (DTD),torso,SJS
2008-11-07,Sharks,Evgeni Nabokov,lower body injury (DTD),torso,SJS
2008-11-08,Sharks,Jonathan Cheechoo,upper body injury (DTD),torso,SJS
2008-11-14,Sharks,Mike Grier,lower body injury (DTD),torso,SJS
2008-12-04,Sharks,Brad Lukowich,groin injury (DTD),ul,SJS
2008-12-10,Sharks,Kyle McLaren,head injury (out indefinitely),head,SJS
2008-12-13,Sharks,Joe Pavelski,lower body injury (DTD),torso,SJS
2008-12-19,Sharks,Milan Michalek,upper body injury (DTD),torso,SJS
2009-01-03,Sharks,Douglas Murray,lower body injury (DTD),torso,SJS
2009-01-10,Sharks,Brad Lukowich,lower body injury (DTD),torso,SJS
2009-01-10,Sharks,Tom Cavanagh,lower body injury (DTD),torso,SJS
2009-01-17,Sharks,Rob Blake,jaw injury (DTD),head,SJS
2009-01-27,Sharks,Dan Boyle,upper body injury (DTD),torso,SJS
2009-02-09,Sharks,Jody Shelley,lower body injury (DTD),torso,SJS
2009-02-11,Sharks,Marcel Goc,lower body injury (DTD),torso,SJS
2009-03-05,Sharks,Evgeni Nabokov,lower body injury (DTD),torso,SJS
2009-03-09,Sharks,Rob Blake,foot injury (DTD),ll,SJS
2009-03-12,Sharks,Tomas Plihal,lower body injury (DTD),torso,SJS
2009-03-14,Sharks,Christian Ehrhoff,lower body injury (DTD),torso,SJS
2009-03-19,Sharks,Ryane Clowe,lower body injury (DTD),torso,SJS
2009-03-22,Sharks,Marcel Goc,left leg injury (out indefinitely),ll,SJS
2009-03-22,Sharks,Rob Blake,lower body injury (DTD),torso,SJS
2009-03-26,Sharks,Jonathan Cheechoo,lower body injury (DTD),torso,SJS
2009-03-30,Sharks,Patrick Marleau,lower body injury (DTD),torso,SJS
2009-09-30,Sharks,Torrey Mitchell,left knee injury (out indefinitely),ul,SJS
2009-10-05,Sharks,Joe Pavelski,foot injury (DTD),ll,SJS
2009-10-25,Sharks,Devin Setoguchi,leg injury (DTD),ll,SJS
2009-11-17,Sharks,Devin Setoguchi,leg injury (DTD),ll,SJS
2009-11-17,Sharks,Brad Staubitz,facial injury (DTD),torso,SJS
2009-12-11,Sharks,Douglas Murray,lower body injury (DTD),torso,SJS
2009-12-12,Sharks,Dan Boyle,lower body injury (DTD),torso,SJS
2010-01-02,Sharks,Manny Malhotra,lower body injury (DTD),torso,SJS
2010-01-21,Sharks,Dan Boyle,upper body injury (DTD),torso,SJS
2010-01-30,Sharks,Marc-Edouard Vlasic,lower body injury (DTD),torso,SJS
2010-03-05,Sharks,Scott Nichol,shoulder injury (DTD),torso,SJS
2010-03-13,Sharks,Douglas Murray,lower body injury (DTD),torso,SJS
2010-03-18,Sharks,Jed Ortmeyer,lower body injury (DTD),torso,SJS
2010-03-23,Sharks,Scott Nichol,upper body injury (DTD),torso,SJS
2010-03-27,Sharks,Joe Thornton,leg injury (DTD),ll,SJS
2010-03-31,Sharks,Marc-Edouard Vlasic,knee injury (DTD),ul,SJS
2010-04-20,Sharks,Niclas Wallin,lower body injury (DTD),torso,SJS
2010-05-02,Sharks,Brad Staubitz,lower body injury (out for season),torso,SJS
2010-10-08,Sharks,Jamal Mayers,arm injury (DTD),ua,SJS
2010-10-15,Sharks,Derek Joslin,upper body injury (DTD) (date approximate),torso,SJS
2010-10-25,Sharks,Scott Nichol,lower body injury (DTD),torso,SJS
2010-11-14,Sharks,Douglas Murray,lower body injury (DTD),torso,SJS
2010-11-23,Sharks,Jason Demers,upper body injury (DTD),torso,SJS
2010-11-26,Sharks,Scott Nichol,eye injury (DTD),head,SJS
2010-11-27,Sharks,Devin Setoguchi,upper body injury (DTD),torso,SJS
2010-11-30,Sharks,Kent Huskins,upper body injury (DTD),torso,SJS
2010-11-30,Sharks,Niclas Wallin,leg injury (DTD),ll,SJS
2010-12-13,Sharks,Douglas Murray,lower body injury (DTD),torso,SJS
2010-12-27,Sharks,Torrey Mitchell,lower body injury (DTD),torso,SJS
2010-12-29,Sharks,Joe Pavelski,lower body injury (DTD),torso,SJS
2011-01-13,Sharks,Logan Couture,right knee injury (DTD),ul,SJS
2011-01-15,Sharks,Ryane Clowe,ankle injury (DTD),ll,SJS
2011-01-17,Sharks,Benn Ferriero,facial injury (DTD),torso,SJS
2011-02-01,Sharks,Antero Niittymaki,lower body injury (DTD) (CBC),torso,SJS
2011-02-09,Sharks,Antero Niittymaki,lower body injury (DTD),torso,SJS
2011-02-19,Sharks,Marc-Edouard Vlasic,upper body injury (DTD),torso,SJS
2011-02-19,Sharks,Scott Nichol,upper body injury (DTD),torso,SJS
2011-03-16,Sharks,Niclas Wallin,head injury (DTD),head,SJS
2011-03-19,Sharks,Logan Couture,right leg injury (left game),ll,SJS
2011-04-05,Sharks,Ryane Clowe,lower body injury (DTD),torso,SJS
2011-04-16,Sharks,Ian White,head injury (DTD),head,SJS
2011-04-16,Sharks,Kent Huskins,upper body injury (DTD),torso,SJS
2011-05-10,Sharks,Ryane Clowe,upper body injury (DTD),torso,SJS
2011-05-15,Sharks,Jason Demers,upper body injury (out for season),torso,SJS
2011-10-22,Sharks,Torrey Mitchell,upper body injury (DTD),torso,SJS
2011-12-06,Sharks,Douglas Murray,right hand injury (DTD),la,SJS
2011-12-08,Sharks,Jim Vandermeer,hand injury (DTD),la,SJS
2011-12-17,Sharks,Colin White,right wrist injury (DTD),la,SJS
2011-12-17,Sharks,Antero Niittymaki,upper body injury (out indefinitely),torso,SJS
2011-12-18,Sharks,Martin Havlat,left leg injury (DTD),ll,SJS
2011-12-28,Sharks,Colin White,lower body injury (out indefinitely),torso,SJS
2012-01-15,Sharks,Andrew Desjardins,concussion / head injury (DTD),head,SJS
2012-01-17,Sharks,Ryane Clowe,facial injury (DTD),torso,SJS
2012-02-27,Sharks,Logan Couture,lower body injury (DTD),torso,SJS
2012-03-13,Sharks,Tommy Wingels,upper body injury (DTD),torso,SJS
2012-03-29,Sharks,Douglas Murray,lower body injury (DTD),torso,SJS
2012-04-12,Sharks,Colin White,upper body injury (DTD),torso,SJS
2013-03-03,Sharks,Martin Havlat,lower body injury (DTD),torso,SJS
2013-03-08,Sharks,Thomas Greiss,sore neck (DTD),head,SJS
2013-03-17,Sharks,Ryane Clowe,shoulder injury (DTD),torso,SJS
2013-03-30,Sharks,Jason Demers,head injury (DTD),head,SJS
2013-04-21,Sharks,Jason Demers,sprained left ankle (DTD),ll,SJS
2013-04-27,Sharks,Martin Havlat,lower body injury (out indefinitely)),torso,SJS
2013-05-08,Sharks,Adam Burish,fractured hand (out for season),la,SJS
2013-05-21,Sharks,Martin Havlat,lower body injury (out for season),torso,SJS
2013-09-23,Sharks,Raffi Torres,torn ACL in right knee (out indefinitely),ul,SJS
2013-10-03,Sharks,Adam Burish,lower body injury (DTD),torso,SJS
2013-10-03,Sharks,Brad Stuart,lower body injury (DTD),torso,SJS
2013-10-03,Sharks,Martin Havlat,surgery on groin (out indefinitely),ul,SJS
2013-10-16,Sharks,Dan Boyle,upper body injury (DTD),torso,SJS
2013-10-21,Sharks,Brent Burns,head/mouth injury (DTD),head,SJS
2013-10-27,Sharks,Matt Nieto,hand injury (DTD),la,SJS
2013-12-10,Sharks,Scott Hannan,upper body injury (DTD),torso,SJS
2013-12-20,Sharks,Tomas Hertl,right knee injury (DTD),ul,SJS
2013-12-31,Sharks,Tommy Wingels,upper body injury (DTD),torso,SJS
2014-01-09,Sharks,Matt Irwin,upper body injury (DTD),torso,SJS
2014-01-16,Sharks,Mike Brown,stiff neck (DTD),head,SJS
2014-01-30,Sharks,Tyler Kennedy,lower body injury (DTD),torso,SJS
2014-02-01,Sharks,Jason Demers,lower body injury (DTD),torso,SJS
2014-02-06,Sharks,Matt Nieto,bruised foot (DTD),ll,SJS
2014-03-11,Sharks,Raffi Torres,right knee injury / general soreness (out for season),ul,SJS
2014-03-25,Sharks,Logan Couture,lower body injury (DTD),torso,SJS
2014-03-26,Sharks,Adam Burish,hand injury (out for season),la,SJS
2014-04-12,Sharks,Scott Hannan,upper body injury (out for season),torso,SJS
2014-04-27,Sharks,Marc-Edouard Vlasic,upper body injury (out for season),torso,SJS
2014-10-14,Sharks,Mike Brown,bruised hand (DTD),la,SJS
2014-12-06,Sharks,Matt Nieto,lower body injury (DTD),torso,SJS
2014-12-11,Sharks,Marc-Edouard Vlasic,upper body injury (DTD),torso,SJS
2015-01-03,Sharks,Joe Thornton,hand injury (DTD),la,SJS
2015-01-21,Sharks,Mirco Mueller,upper body injury (DTD),torso,SJS
2015-01-28,Sharks,Tyler Kennedy,lower body injury (DTD),torso,SJS
2015-03-07,Sharks,Matt Irwin,upper body injury (DTD),torso,SJS
2015-03-27,Sharks,Mirco Mueller,left hand/wrist injury (out for season),la,SJS
2015-03-29,Sharks,Marc-Edouard Vlasic,lower body injury (out for season),torso,SJS
